Repository,Category,Subcat,Standard,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics
IBMStreams/streamsx.health,Infrastructure,Analytics,,45,33,(Incubation) Streams Healthcare Analytics Platform - To enable and inspire the next generation healt...,https://github.com/IBMStreams/streamsx.health,Apache License 2.0,Java,"chanskw, natashadsilva, ibmkendrick",4,2015-09-13,2025-09-06,2021-01-07,1139,"analytics, bokeh, fhir, healthcare, healthcare-demo"
OxWearables/stepcount,Model repo,,,45,15,Improved Step Counting via Foundation Models for Wrist-Worn Accelerometers,https://github.com/OxWearables/stepcount,Other,Jupyter Notebook,"chanshing, smallsr, gmertes",6,2021-05-25,2025-09-30,2025-09-19,0,"deep-learning, fitness-tracker, gait-analysis, healthcare, machine-learning"
yhzhu99/covid-ehr-benchmarks,Archived,,,44,11,A Comprehensive Benchmark For COVID-19 Predictive Modeling Using Electronic Health Records,https://github.com/yhzhu99/covid-ehr-benchmarks,GNU General Public License v2.0,Python,"yhzhu99, ericaaaaaaaa, v1xerunt",5,2022-04-05,2024-08-21,2023-06-06,14,"deep-learning, ehr, machine-learning, pytorch"
FreeHealth/freehealth,Infrastructure,EHR,,44,16,Free and open source Electronic Health Record,https://github.com/FreeHealth/freehealth,Other,C++,"EricMaeker, jeromecc, papyJuju",8,2016-08-12,2025-09-04,2018-03-13,6988,"ehr, emr, health, healthcare, healthcare-application"
MedShake/MedShakeEHR-base,Infrastructure,EHR,,44,21,Base pour MedShakeEHR,https://github.com/MedShake/MedShakeEHR-base,GNU General Public License v3.0,PHP,"MedShake, fr33z00, marsante",7,2017-05-22,2025-09-20,2025-09-20,0,
MayJuun/fhir,Interoperability,Data Models & Validation,FHIR,44,29,A Dart/Flutter package for working with FHIR resources.,https://github.com/MayJuun/fhir,MIT License,Dart,"Dokotela, tiloc, FireJuun",6,2020-06-09,2025-07-07,2022-12-05,0,
HCA-Healthcare/elixir-mllp,Interoperability,Gateways & Connectors,HL7v2,44,20,An Elixir library for transporting HL7 messages via MLLP (Minimal Lower Layer Protocol),https://github.com/HCA-Healthcare/elixir-mllp,Apache License 2.0,Elixir,"starbelly, DarkMarmot, vikas15bhardwaj",13,2018-10-04,2025-07-15,2025-03-21,0,
nlpie/biomedicus2,Archived,,,44,11,"Code for the old version of BioMedICUS, for the new version see the biomedicus3 repository.",https://github.com/nlpie/biomedicus2,Apache License 2.0,Java,"benknoll-umn, gpfinley, rfinz",3,2016-02-05,2023-03-13,2023-03-13,395,"electronic-health-record, health-informatics, medical, natural-language-processing, nlp"
HospitalRun/hospitalrun-core,Archived,,,43,45,"All elements shared between Frontend and Backend, including CouchDB design-documents and schemas.",https://github.com/HospitalRun/hospitalrun-core,Unknown,TypeScript,"matteovivona, dependabot-preview[bot], dependabot[bot]",9,2019-09-08,2025-03-30,2022-02-12,0,"core, couchdb, fastify, hl7, hospitalrun"
AlexSWong/COVID-Net,Lists,,,43,10,"Launched in March 2020 in response to the coronavirus disease 2019 (COVID-19) pandemic, COVID-Net is...",https://github.com/AlexSWong/COVID-Net,Unknown,,AlexSWong,1,2021-01-17,2023-12-13,2023-12-19,0,"ai, benchmark-datasets, chest-ct-images, chest-xray-images, covid-19"
USM-CHU-FGuyon/BlendedICU,Model Development,Eval,OMOP-CDM,44,19,OMOP standardization pipeline for ICU databases,https://github.com/USM-CHU-FGuyon/BlendedICU,MIT License,Python,"USM-CHU-FGuyon, LucasDuval, Zethson",4,2023-08-03,2025-08-27,2025-02-24,0,"amsterdamumcdb, eicu, hirid-dataset, mimic-iii, mimic-iv"
srdc/onfhir,Infrastructure,Data Platforms,FHIR,43,15,HL7 FHIR Based Secure Data Repository,https://github.com/srdc/onfhir,GNU General Public License v3.0,Scala,"sinaci, dogukan10, msfyuksel",10,2019-10-23,2025-09-24,2025-09-24,85,"fhir, fhir-server, health-informatics, hl7, java"
w3c/hcls-fhir-rdf,References,,,43,15,Sketching out an RDF representation for FHIR,https://github.com/w3c/hcls-fhir-rdf,Unknown,HTML,"dbooth-boston, tmallia, jmandel",8,2015-03-04,2025-08-05,2025-07-04,0,
whaleloops/TransformEHR,Model repo,,,43,5,,https://github.com/whaleloops/TransformEHR,Apache License 2.0,Python,whaleloops,1,2023-10-25,2025-08-25,2023-10-25,0,
rafiattrach/m3,HAI engineering,Agents & MCP Server,,43,10,🏥🤖 Query MIMIC-IV medical data using natural language through Model Context Protocol (MCP). Transfor...,https://github.com/rafiattrach/m3,MIT License,Python,"rafiattrach, MoreiraP12, rajna-fani",6,2025-05-13,2025-10-01,2025-10-01,0,
openmrs/openmrs-module-fhir,Archived,,,42,115,Implements REST and Java APIs to access OpenMRS via FHIR Specification.,https://github.com/openmrs/openmrs-module-fhir,Unknown,Java,"harsha89, surangak, sashrika",39,2014-09-12,2025-05-23,2021-07-02,0,
NIH-NCPI/fhir-101,Archived,,,42,7,🔥 FHIR 101 - A Practical Guide,https://github.com/NIH-NCPI/fhir-101,Apache License 2.0,Jupyter Notebook,"znatty22, abgeorge7",2,2020-02-06,2025-07-24,2020-07-13,0,"binder-ready, fhir, jupyter-notebook, python, tutorial"
HicServices/RDMP,Infrastructure,Analytics,OMOP-CDM,43,16,"Research Data Management Platform (RDMP) is an open source application for the loading,linking,anonymisation and extraction of datasets stored in relational databases.",https://github.com/HicServices/RDMP,GNU General Public License v3.0,C#,"tznind, jas88, dependabot[bot]",15,2017-08-23,2025-10-02,2025-10-02,3065,"anonymisation, cohort-selection, database, electronic-health-record, extraction"
jcomellas/ex_hl7,Interoperability,Data Models & Validation,HL7v2,42,13,HL7 Parser for Elixir,https://github.com/jcomellas/ex_hl7,Other,Elixir,jcomellas,1,2015-06-21,2025-07-13,2019-12-31,0,
TopologyHealth/SMARTerFHIR,Interoperability,Client SDKs,FHIR,42,12,,https://github.com/TopologyHealth/SMARTerFHIR,Apache License 2.0,TypeScript,"joshcds, oyisre, goelalex",4,2023-06-06,2025-09-02,2025-08-01,0,"cerner, epic, fhir, smartonfhir"
tegin/medical-fhir,Interoperability,Data Models & Validation,FHIR,42,41,Medical Implementation of FHIR in Odoo,https://github.com/tegin/medical-fhir,GNU Affero General Public License v3.0,Python,"etobella, albariera, luisDIXMIT",7,2018-01-24,2025-09-06,2025-07-08,0,
cqframework/clinical-reasoning,Interoperability,Data Standards & Mapping,"CQL, FHIR",42,37,CQF Clinical Reasoning on FHIR for Java,https://github.com/cqframework/clinical-reasoning,Apache License 2.0,Java,"JPercival, barhodes, mdnazmulkarim",27,2019-10-24,2025-10-02,2025-10-02,0,"cds, cds-hooks, clinical-decision-support, clinical-intelligence, clinical-quality-language"
dermatologist/fhiry,Model Development,Dataset Processing,FHIR,42,8,"FHIR to pandas dataframe for data analytics, AI and ML!",https://github.com/dermatologist/fhiry,MIT License,Jupyter Notebook,"dermatologist, dependabot[bot], github-actions[bot]",6,2020-12-12,2025-09-19,2025-09-19,0,"analytics, data-analysis, data-science, ehealth, fhir"
smart-on-fhir/fhir-server-dashboard,Archived,,,41,12,Presents a human-readable representation of the data in a FHIR server.,https://github.com/smart-on-fhir/fhir-server-dashboard,Other,JavaScript,,0,2017-08-18,2025-07-02,2017-08-18,0,"d3, fhir, fhir-server, javascript, nodejs"
aphp/eds-scikit,Model Development,Dataset Processing,OMOP-CDM,42,6,eds-scikit is a Python library providing tools to process and analyse OMOP data,https://github.com/aphp/eds-scikit,"BSD 3-Clause ""New"" or ""Revised"" License",Python,"Thomzoy, Vincent-Maladiere, svittoz",7,2022-11-28,2025-09-11,2024-06-27,0,"clinical-data-warehouse, data-science, medical, omop, python"
fhircat/CORD-19-on-FHIR,References,,,41,8,Semantics for COVID-19 Discovery,https://github.com/fhircat/CORD-19-on-FHIR,Other,Python,"gqjiang, hsolbrig, dnstone",4,2020-03-17,2025-01-13,2020-07-27,22,
flexpa/sero,Archived,,,41,4,Modern JavaScript modules for FHIR,https://github.com/flexpa/sero,Apache License 2.0,TypeScript,"jdjkelly, mseckykoebel, dependabot[bot]",6,2021-05-27,2024-01-17,2022-06-13,0,"fhir, fhir-client, fhir-server, healthcare, smart-auth"
FirelyTeam/firely-net-common,Archived,,,41,30,The official Firely .NET SDK for HL7 FHIR - Contains common code for all FHIR versions,https://github.com/FirelyTeam/firely-net-common,Other,C#,"marcovisserFurore, wmrutten, mmsmits",33,2019-07-18,2025-05-05,2023-01-19,0,"fhir, firely, hl7"
medic/L7,Interoperability,Data Models & Validation,HL7v2,41,21,A simple HL7 parser and query language,https://github.com/medic/L7,Apache License 2.0,JavaScript,"wombleton, SCdF, garethbowen",5,2012-05-29,2024-03-17,2018-10-10,0,
wardle/hades,Infrastructure,Servers,FHIR,41,3,A FHIR terminology server.,https://github.com/wardle/hades,Eclipse Public License 2.0,Clojure,"wardle, elh",2,2021-02-11,2025-09-23,2025-02-22,91,"fhir, healthcare, snomed, snomed-ct, terminology"
flexpa/llm-fhir-eval,Model Development,Eval,,41,7,Benchmarking Large Language Models for FHIR,https://github.com/flexpa/llm-fhir-eval,Unknown,TypeScript,jdjkelly,1,2024-07-25,2025-09-24,2025-05-31,0,"evals, fhir, fhir-llm, fhir-resources, fhirpath"
NVIDIA/clara-dicom-adapter,Archived,,,40,12,DICOM Adapter is a component of the Clara Deploy SDK which facilitates integration with DICOM compli...,https://github.com/NVIDIA/clara-dicom-adapter,Apache License 2.0,C#,"mocsharp, evberrypi, igobypenn",5,2020-09-21,2025-07-08,2021-09-09,0,"ai, csharp, dicom, dotnet-core, fo-dicom"
elimuinformatics/vcf2fhir,Interoperability,Converters & Transformers,FHIR,40,24,vcf2fhir: a utility to convert VCF files into HL7 FHIR format for genomics-EHR integration,https://github.com/elimuinformatics/vcf2fhir,Apache License 2.0,Python,"rhdolin, Rohan-cod, srgothi92",7,2020-09-29,2025-09-06,2022-06-08,0,"fhir, hl7, vcf"
HL7/US-Core,References,,,40,31,FHIR R4 version of US Core IG,https://github.com/HL7/US-Core,Unknown,HTML,"Healthedata1, brettmarquard, hackmd-deploy",7,2018-08-21,2025-10-02,2025-10-02,0,
akello-io/akello,Infrastructure,Data Platforms,FHIR,40,16,Healthcare OS for interoperability and AI-driven data processing,https://github.com/akello-io/akello,Apache License 2.0,TypeScript,"vselvarajijay, dependabot[bot], jmb1993001",12,2023-10-22,2025-08-23,2024-10-24,0,"eventbus, graphql, kafka, kubernetes, microservices"
CMSgov/qpp-conversion-tool,Interoperability,Converters & Transformers,,40,64,"Conversion tool for QPP, particularly focused on QRDA3 -> QPP, built by Flexion. ",https://github.com/CMSgov/qpp-conversion-tool,Creative Commons Zero v1.0 Universal,Java,"saquino0827, clydet, halprin",42,2017-03-24,2025-09-22,2025-09-22,0,"data-conversion, hl7, java, qpp, qppct"
awslabs/fhir-works-on-aws-interface,Archived,,,39,19,The interface for the FHIR Works on AWS framework. This package is the glue that allows communicatio...,https://github.com/awslabs/fhir-works-on-aws-interface,Apache License 2.0,TypeScript,"rsmayda, carvantes, nguyen102",15,2020-07-22,2023-12-21,2023-04-13,0,"aws, fhir, fhir-works, healthcare, hl7"
liuqidong07/LEADER-pytorch,Model repo,,,40,4,[arXiv'24] The official implementation code of LEADER.,https://github.com/liuqidong07/LEADER-pytorch,MIT License,Python,liuqidong07,1,2024-01-31,2025-09-05,2024-08-31,0,"healthcare, large-language-models, medication-recommendation, mimic, mimic-iii"
aws-solutions/fhir-works-on-aws,Archived,,,39,21,A serverless implementation of the FHIR standard that enables users to focus more on their business ...,https://github.com/aws-solutions/fhir-works-on-aws,Apache License 2.0,TypeScript,"ssvegaraju, kcadette, Bingjiling",13,2022-12-27,2025-07-13,2024-01-31,0,"aws, fhir, fhir-works, healthcare, hl7"
baowaly/SynthEHR,Model repo,Synthetic Data,,39,17,,https://github.com/baowaly/SynthEHR,Unknown,Python,baowaly,1,2018-03-05,2025-06-02,2019-06-10,0,
inferno-framework/fhir-validator-app,Interoperability,Data Models & Validation,FHIR,39,14,A standalone app for validating FHIR resources against an optional Implementation Guide,https://github.com/inferno-framework/fhir-validator-app,Apache License 2.0,TypeScript,"jason-crowley, radamson, dependabot[bot]",10,2020-02-10,2025-09-09,2025-07-25,0,"fhir, fhir-validator, inferno"
VectorInstitute/odyssey,Model Development,Modelling & Training,,39,13,A toolkit for developing foundation models using Electronic Health Record (EHR) data.,https://github.com/VectorInstitute/odyssey,Apache License 2.0,Python,"amrit110, Adibvafa, pre-commit-ci[bot]",5,2023-12-01,2025-09-30,2025-09-30,0,"electronic-health-record, foundation-models, healthcare, machine-learning, mimic-iv"
harshthakkar2603/Blockchain_EHR,Infrastructure,EHR,,39,18,This project is developed with the aim to store patient healthcare records over blockchain. This hel...,https://github.com/harshthakkar2603/Blockchain_EHR,MIT License,CSS,harshthakkar2603,1,2022-03-11,2025-09-12,2022-06-01,0,"dapp, ethereum, reactjs, solidity, web3"
hapifhir/org.hl7.fhir.validator-wrapper,App Development,Tooling,FHIR,39,23,"CLI, Desktop GUI, and Standalone Server for the FHIR Validator",https://github.com/hapifhir/org.hl7.fhir.validator-wrapper,Apache License 2.0,Kotlin,"markiantorno, dotasek, hl7-devops",7,2020-08-05,2025-09-18,2025-09-15,10437,
ExpertOpsAI/ModelLibrary,Lists,,,39,13,A collection of AI models tailored for healthcare applications.,https://github.com/ExpertOpsAI/ModelLibrary,Apache License 2.0,Jupyter Notebook,"mrrajeshrai, Aditya-9716",2,2024-04-24,2025-09-24,2024-09-25,0,
cumc-dbmi/cehrbert,Model repo,,,39,13,CEHR-BERT: Incorporating temporal information from structured EHR data to improve prediction tasks,https://github.com/cumc-dbmi/cehrbert,MIT License,Python,"ChaoPang, xj2193, nishanthpp93",7,2021-11-12,2025-09-26,2025-09-26,124,"bert, deep-learning, disease-prediction, ehr-data, machine-learning"
hl7au/au-fhir-base,References,,,38,31,AU Base FHIR Implementation Guide Source,https://github.com/hl7au/au-fhir-base,Other,Batchfile,"davidmckillop-ADHA, brettesler-ext, robeastwood-agency",26,2016-12-17,2025-08-27,2025-08-27,0,
LuChang-CS/MTGAN,Model repo,,,38,9,Code for the paper: Multi-Label Clinical Time-Series Generation via Conditional GAN (IEEE TKDE),https://github.com/LuChang-CS/MTGAN,Unknown,Python,LuChang-CS,1,2022-04-02,2025-06-05,2022-07-05,0,"conditional-gan, ehr, electronic-health-records, gan, generative-adversarial-network"
dcarbone/php-fhir-generated,References,,,38,11,Pre-generated classes from dcarbone/php-fhir,https://github.com/dcarbone/php-fhir-generated,Apache License 2.0,PHP,dcarbone,1,2016-04-28,2025-09-25,2025-09-25,0,"fhir, php-fhir"
ritaranx/RAM-EHR,Model repo,,,38,3,[ACL 2024] This is the code for our paper ”RAM-EHR: Retrieval Augmentation Meets Clinical Prediction...,https://github.com/ritaranx/RAM-EHR,MIT License,Python,ritaranx,1,2024-02-23,2025-07-13,2024-09-19,0,"clinical, electronic-health-record, healthcare, llm, medical"
the-momentum/fhirboard,App Development,Visualization,FHIR,38,2,Open-source tool for FHIR data analysis and visualization.,https://github.com/the-momentum/fhirboard,MIT License,Ruby,"bartmichalak, nav-mike, rczern",4,2024-11-20,2025-09-29,2025-05-28,0,"analytics-on-fhir, fhir, healthcare"
RobHolme/HL7-Listener,Interoperability,Gateways & Connectors,HL7v2,38,18,Command line tool to receive HL7 files via TCP,https://github.com/RobHolme/HL7-Listener,MIT License,C#,RobHolme,1,2017-04-06,2025-09-30,2025-06-19,863,"hl7, mllp"
fhir-schema/fhir-schema,Interoperability,Data Models & Validation,FHIR,38,1,FHIR Schema,https://github.com/fhir-schema/fhir-schema,MIT License,JavaScript,"niquola, ApricotLace, rublag",8,2023-05-09,2025-08-24,2025-03-27,0,
the-momentum/notetaker,HAI engineering,Templates / Starters,,38,0,🧑‍⚕️🤖 AI-powered audio transcription and smart summarization tool that transforms spoken conversatio...,https://github.com/the-momentum/notetaker,Unknown,Python,"DominikCywinski, kczpl, FBegiello",3,2025-02-19,2025-09-26,2025-05-22,0,
The-Swarm-Corporation/Open-MAI-Dx-Orchestrator,Model repo,,,38,11,"An open source implementation of the paper: ""Sequential Diagnosis with Language Models"" From Microso...",https://github.com/The-Swarm-Corporation/Open-MAI-Dx-Orchestrator,MIT License,Python,"kyegomez, harshalmore31",2,2025-06-30,2025-09-13,2025-07-03,0,"ai, ehr, epic, healthcare-agennts, medical-agents"
OHDSI/Perseus,Infrastructure,Analytics,OMOP-CDM,38,9,[under development] Tools for ETL into OMOP CDM and deployment of OHDSI toolstack,https://github.com/OHDSI/Perseus,Apache License 2.0,TypeScript,"chMatvey, Windman, MariaDolotova",21,2022-05-16,2025-08-19,2023-11-10,0,
FirelyTeam/firely-cql-sdk,Interoperability,Client SDKs,CQL,38,21,"This is NCQA's and Firely's official support SDK for working with CQL (Clinical Query Language) on the Microsoft .NET (dotnet) platform. It contains an engine for executing CQL/ELM, by turning the con...",https://github.com/FirelyTeam/firely-cql-sdk,"BSD 3-Clause ""New"" or ""Revised"" License",C#,"baseTwo, ewoutkramer, Copilot",25,2023-03-02,2025-09-30,2025-09-30,0,"clinical-query-language, cql, fhir, sdk"
mitre/fhir-server,Infrastructure,Servers,FHIR,37,16,"A fast, open source, HL7 FHIR server",https://github.com/mitre/fhir-server,Apache License 2.0,Go,"eedrummer, cmoesel",2,2016-09-22,2025-06-16,2016-09-26,0,
WGLab/EHR-Phenolyzer,Model Development,Dataset Processing,,37,13,"A pipeline that takes clinical notes from EHRs and generate phenotype terms, then generate ranked ge...",https://github.com/WGLab/EHR-Phenolyzer,Unknown,Python,"gangcai, kaichop, dependabot[bot]",4,2017-08-15,2025-04-08,2022-12-08,0,
mmcdermott/comprehensive_MTL_EHR,Model repo,,,37,6,Source code for a comprehensive analysis of MTL over EHR timeseries data.,https://github.com/mmcdermott/comprehensive_MTL_EHR,Unknown,Jupyter Notebook,mmcdermott,1,2020-07-20,2024-12-23,2023-04-11,0,
wangmengsd/pdd-graph,Model Development,Dataset Processing,,37,5,PDD Graph : Bridging MIMIC-III and Linked Data Cloud,https://github.com/wangmengsd/pdd-graph,Unknown,CSS,"xjtushilei, wangmengsd",2,2017-05-25,2025-02-05,2025-02-05,0,"biomedical, diseases, drugs, ehr, emr"
FHIR/GoFSH,Interoperability,Converters & Transformers,FHIR,37,6,"GoFSH is a FHIR Shorthand (FSH) decompiler, able to convert formal FHIR definitions from JSON/XML to...",https://github.com/FHIR/GoFSH,Apache License 2.0,TypeScript,"mint-thompson, cmoesel, jafeltra",9,2020-08-27,2025-09-22,2025-09-22,0,
healthintellect/fhir-ui,App Development,Interface,FHIR,37,11,React components for displaying HL7 FHIR data using Material-UI,https://github.com/healthintellect/fhir-ui,MIT License,JavaScript,braytonstafford,1,2019-10-30,2025-09-04,2022-06-24,0,
canvas-medical/mobile-patient-app,App Development,Templates / Starters,FHIR,37,8,"FHIR-based cross-platform mobile app for patients. Supports scheduling, messaging, payments, medical...",https://github.com/canvas-medical/mobile-patient-app,Apache License 2.0,TypeScript,"reidgarner, S-Romberg, modgeosys",3,2024-02-08,2025-09-29,2024-09-26,0,"ehr, emr, healthcare, healthtech, patient"
gt-health/GT-FHIR,References,,,36,28,Georgia Tech FHIR Server Web Page,https://github.com/gt-health/GT-FHIR,Unknown,Java,"ismael-sarmento-jr, myungchoi, MikeRileyGTRI",9,2015-06-02,2024-02-21,2018-07-17,58,
v1xerunt/RHealth,Model Development,Modelling & Training,,37,9,A Deep Learning R Toolkit for Healthcare Applications.,https://github.com/v1xerunt/RHealth,Other,R,"v1xerunt, 0794xiaobaozi, jexica0921",3,2025-03-30,2025-10-02,2025-09-27,0,"clinical-data, clinical-research, data-mining, electronic-health-record, electronic-medical-record"
jmandel/fhir-js-client,Interoperability,Client SDKs,FHIR,36,229,JavaScript client for FHIR,https://github.com/jmandel/fhir-js-client,Unknown,JavaScript,jmandel,1,2013-09-03,2025-06-25,2014-06-09,0,
BenGlicksberg/ROMOP,Interoperability,Data Models & Validation,OMOP-CDM,36,7,R package to easily interface with OMOP-formatted EHR data.,https://github.com/BenGlicksberg/ROMOP,MIT License,R,BenGlicksberg,1,2018-05-26,2025-05-07,2020-03-04,0,
HL7/fhir-shc-vaccination-ig,References,,,36,18,FHIR Implementation Guide describing clinical and patient data contained within a SMART Health Card,https://github.com/HL7/fhir-shc-vaccination-ig,Unknown,GLSL,"masnick, nkarip, Shaumik-Ashraf",8,2021-01-13,2025-09-22,2025-09-03,0,
babylonhealth/lit-fhir,Interoperability,Data Models & Validation,FHIR,36,3,Opinionated library for easily constructuring FHIR (http://hl7.org/fhir) resources in Scala and Java...,https://github.com/babylonhealth/lit-fhir,Apache License 2.0,Scala,"healthm-bot, alexmorley",2,2021-03-09,2024-12-20,2023-06-19,0,"codegen, fhir, fhir-client, healthcare, java"
nhsconnect/gpconnect,References,,,35,26,GP Connect API specification,https://github.com/nhsconnect/gpconnect,Apache License 2.0,CSS,"Mhitchins, james-answer, tim1ford",18,2016-07-22,2025-04-10,2022-02-03,0,"fhir, gpconnect, nhs, nhs-digital"
shalkam/gql-fhir,Infrastructure,Servers,FHIR,35,12,implementing the hl7 fhir specifications using graphql,https://github.com/shalkam/gql-fhir,Unknown,JavaScript,shalkam,1,2016-12-29,2025-03-28,2017-03-08,0,
amida-tech/mllp,Interoperability,Gateways & Connectors,HL7v2,35,36,HL7's MLLP (Minimum Lower Layer Protocol) server implementation in Node.js,https://github.com/amida-tech/mllp,Other,JavaScript,"kachok, madforce, mberryman",5,2014-10-31,2025-06-11,2018-09-25,0,
RobHolme/HL7-Powershell-Module,Interoperability,Gateways & Connectors,HL7v2,35,9,HL7 PowerShell Module,https://github.com/RobHolme/HL7-Powershell-Module,MIT License,C#,RobHolme,1,2017-04-06,2025-10-02,2025-10-02,825,"hl7, powershell, powershell-modules"
glory-kasongo-03/Doctor_appointment_booking_system,Archived,,,35,31,"This is a basic doctor appointment booking system, a web and mobile-based app allowing patients to s...",https://github.com/glory-kasongo-03/Doctor_appointment_booking_system,MIT License,HTML,glory-kasongo-03,1,2025-02-27,2025-09-23,2025-05-18,0,"booking-appointments, booking-system, doctor-appointment-system, ehr, hospital-appointment-booking"
weimin17/Multimodal_Transformer,Model repo,,,35,4,A Multimodal Transformer: Fusing Clinical Notes With Structured EHR Data for Interpretable In-Hospit...,https://github.com/weimin17/Multimodal_Transformer,MIT License,Python,weimin17,1,2022-03-09,2025-09-02,2022-07-26,0,"clinical-notes, clinical-variables, ehr, interpretability, interpretable-ai"
icanbwell/fhir-server,Infrastructure,Servers,FHIR,35,9,Open Source FHIR Server backed by MongoDB,https://github.com/icanbwell/fhir-server,MIT License,JavaScript,"imranq2, mintusah25, 007sunny",45,2020-10-06,2025-09-24,2025-09-24,0,
ruoyu-chen/dl4ehr_papers,Lists,,,34,9,Deep Learning for EHR papers,https://github.com/ruoyu-chen/dl4ehr_papers,Unknown,TeX,"ruoyu-chen, Arcade0",2,2019-07-23,2025-01-12,2019-08-25,0,
POLAR-fhiR/fhircrackr,Model Development,Dataset Processing,FHIR,35,4,A package for convenient downloading fhir resources in xml format and converting to R data frames,https://github.com/POLAR-fhiR/fhircrackr,Unknown,R,"palmjulia, TPeschel, JePrzybilla",5,2020-05-15,2025-08-07,2025-05-15,0,"fhir, fhir-client, r"
som-shahlab/ehr-rwe,Model repo,,,34,5,Weak supervision methods for extracting real world evidence from EHRs,https://github.com/som-shahlab/ehr-rwe,Apache License 2.0,Python,"jason-fries, alisoncallahan",2,2018-05-16,2025-06-06,2020-04-07,0,
nazrulworld/fhirpath,App Development,Profiling & Authoring,FHIR,34,7,FHIRPath implementation in Python.,https://github.com/nazrulworld/fhirpath,Apache License 2.0,Python,"nazrulworld, simonvadee, Jasopaum",3,2018-12-15,2025-06-06,2021-06-26,0,"fhir, fhir-api, fhir-profiles, fhirpath, healthcare"
lantanagroup/stylesheets,App Development,Interface,,34,26,Open source repository for standards-based stylesheets (such as CDA and FHIR rendering stylesheets).,https://github.com/lantanagroup/stylesheets,Apache License 2.0,XSLT,"EricParapini-Lantanagroup, seanmcilvenna, minigrrl",3,2016-08-30,2025-09-27,2022-07-20,0,stylesheets
tiloc/faiadashu,App Development,Interface,FHIR,34,17,Widgets for Digital Health - Use the Flutter(tm) SDK to build healthcare apps fast.,https://github.com/tiloc/faiadashu,MIT License,Dart,"tiloc, FireJuun",2,2021-03-05,2025-05-09,2022-09-17,0,"argonaut, fhir, fhir-standard, flutter, flutter-ui"
SAP/openui5-fhir,Interoperability,Converters & Transformers,FHIR,34,6,The openui5-fhir project connects the worlds of UI5 and FHIR®. Build beautiful and enterprise-ready ...,https://github.com/SAP/openui5-fhir,Apache License 2.0,JavaScript,"dependabot-preview[bot], dependabot[bot], flovogt",11,2019-04-16,2025-06-17,2025-02-03,0,"fhir, fhir-specification, frontend, open-source, openui5"
philips-software/terraform-provider-hsdp,Infrastructure,Tooling,,34,14,"Terraform provider to orchestrate various HSDP resources like IAM, CDL, CDR, MDM, Container Host, Ed...",https://github.com/philips-software/terraform-provider-hsdp,MIT License,Go,"loafoe, dependabot[bot], roopesh83",10,2018-08-04,2025-09-30,2025-09-30,119075,"ai, cartel, cdr, clinical-datalake, container-host"
LHNCBC/formbuilder-lhcforms,App Development,Profiling & Authoring,FHIR,34,30,Build LHC-Forms and FHIR Questionnaires,https://github.com/LHNCBC/formbuilder-lhcforms,Other,TypeScript,"akanduru, wamorn, plynchnlm",9,2018-09-26,2025-09-27,2025-09-27,0,"fhir-questionnaire, lhc-forms"
LibreHealthIO/lh-ehr-laravel,Infrastructure,EHR,,34,41,LibreHealth EHR laravel,https://github.com/LibreHealthIO/lh-ehr-laravel,Unknown,PHP,"muarachmann, chaitak-gorai, robbyoconnor",6,2020-08-19,2025-08-20,2023-04-22,0,"css, html, inertiajs, javascript, laravel"
cmiles74/clojure-hl7-messaging-2-parser,Interoperability,Data Models & Validation,HL7v2,34,5,HL7 v2.x Messaging Parser,https://github.com/cmiles74/clojure-hl7-messaging-2-parser,MIT License,Clojure,cmiles74,1,2011-05-10,2025-09-22,2023-10-11,0,"clojure, hl7v2, parser"
wshi83/MedAdapter,Model repo,,,34,1,[EMNLP'24] MedAdapter: Efficient Test-Time Adaptation of Large Language Models Towards Medical Reaso...,https://github.com/wshi83/MedAdapter,Unknown,Python,wshi83,1,2024-09-22,2025-10-01,2024-12-26,0,"adaptation, black-box, ehr, large-language-models, llm"
siddythings/system-prompts-and-models-of-ai-tools,Lists,,,34,7,"A comprehensive collection of AI system prompts, tools, and implementations across various domains i...",https://github.com/siddythings/system-prompts-and-models-of-ai-tools,MIT License,,siddythings,1,2025-05-15,2025-09-29,2025-05-15,0,
ji-youn-kim/EHRNoteQA,Model repo,Eval,,34,7,"[NeurIPS 2024 D&B] Official code for ""EHRNoteQA: An LLM Benchmark for Real-World Clinical Practice U...",https://github.com/ji-youn-kim/EHRNoteQA,MIT License,Python,ji-youn-kim,1,2024-02-26,2025-09-17,2025-01-11,0,
dshills/golevel7,Archived,,,32,48,Go Level 7 is a decoder / encoder for HL7,https://github.com/dshills/golevel7,MIT License,Go,"dshills, plisitza, itp-atakan",3,2015-11-18,2025-06-13,2021-04-09,0,
awslabs/fhir-works-on-aws-search-es,Archived,Analytics,,32,25,"An Elasticsearch implementation of the FHIR Works on AWS framework, enabling users to search for FHI...",https://github.com/awslabs/fhir-works-on-aws-search-es,Apache License 2.0,TypeScript,"carvantes, rsmayda, ssvegaraju",15,2020-07-23,2023-12-27,2023-04-13,0,"aws, fhir, fhir-works, healthcare, hl7"
